id;image;date;dateLocal;header;text
001;/img/photos/gallery/009__002-photo-;2018-06-25;25.06.2018;Сдан цех для содержания кур-несушек;Цех имеет длину 84 метра. Фабрика расположена в деревне Шилыково Ивановской области. Так же мы смонтировали технологическое оборудование.
002;/img/photos/gallery/005__003-photo-;2018-10-17;17.10.2018;Закончен ангар для вертолетов;Смортировали и сдали заказчику ангар для хранения и ослуживания вертолетов в деревне Ромашково Московской области.
003;/img/photos/gallery/010__007-photo-;2019-06-10;10.06.2019;Закончили навес из профнастила;Размеры строения 15х60х6 метров. Назначение здания - склад готовой продукции. Расположение - город Дорохово в Москоской области.
004;/img/photos/gallery/009__005-photo-;2019-06-22;22.06.2019;Сдан второй цех для содержания кур;Цех имеет длину 84 метра. Фабрика расположена в деревне Шилыково Ивановской области. Так же мы смонтировали технологическое оборудование.
005;/img/photos/gallery/007__015-photo-;2019-08-05;05.08.2019;"Сдан в эксплуатацию КСК ""Алмазово""";Конно-спортивный комплекс около д.Алмазово Московской области
006;/img/photos/gallery/011__004-photo-;2019-10-12;12.10.2019;Сдали тентовый склад для автошин;Заказчик принял у нас тентовый склад в деревне Есипово в Московской области
007;/img/photos/gallery/009__008-photo-;2020-03-15;15.03.2020;Сдан следующий цех для содержания кур;Цех на 70 000 голов. Фабрика расположена в деревне Шилыково Ивановской области.
008;/img/photos/gallery/013__002-photo-;2020-08-10;10.08.2020;Построен торговый павильон из ПВХ-ткани;Мы сдали заказчику тентовый павильон для торговли. Размеры здания 18х32х4 метров. Площадка расположена около деревни Курилово в Москоской области.
009;/img/photos/gallery/012__009-photo-;2020-08-20;20.08.2020;Введен в эксплуатацию КСК;Запустили конно-спортивный комплекс в д.Ябедино в Московской области.
